seed,keyword,pc_volume,mobile_volume,total_volume,competition,pc_click_avg,mobile_click_avg
음주운전,교통사고,4550,22700,27250,높음,2.2,31.9
음주운전,음주운전벌금,4890,17900,22790,높음,6.8,452.4
명예훼손,변호사,4720,17200,21920,높음,35.9,280.2
명예훼손,성범죄경력조회서,13300,5040,18340,높음,8.3,10.8
형사고소,형법,9440,6980,16420,높음,2.6,5.6
명예훼손,법무법인,3130,11800,14930,높음,70.8,180.2
음주운전,음주운전,3610,10500,14110,높음,4.6,46.0
음주운전,도로교통법,7820,5550,13370,높음,2.5,15.0
형사고소,형사전문변호사,5660,7150,12810,높음,9.7,32.2
명예훼손,명예훼손,2240,8160,10400,높음,1.9,27.0
음주운전,탄원서,3230,7130,10360,높음,21.2,53.4
명예훼손,형사소송법,5620,4740,10360,높음,2.1,8.8
음주운전,행정심판,5980,4100,10080,높음,2.2,7.8
명예훼손,사실적시명예훼손,1910,8010,9920,높음,0.6,14.4
명예훼손,기소유예,2690,7210,9900,높음,1.2,29.8
음주운전,음주운전변호사,5530,3940,9470,높음,5.2,45.4
음주운전,음주운전처벌,3050,6370,9420,높음,3.7,128.8
음주운전,온라인행정심판,6410,2890,9300,높음,0.1,1.0
음주운전,12대중과실,1940,6590,8530,높음,1.6,31.2
명예훼손,반의사불벌죄,1820,6130,7950,높음,1.0,13.6
명예훼손,집행유예,1620,5880,7500,높음,0.1,12.0
형사고소,법무법인순위,1930,5570,7500,높음,8.6,88.4
형사고소,인지,2160,5240,7400,높음,0.7,10.0
음주운전,교통사고합의금,2090,5220,7310,높음,1.6,27.6
음주운전,음주운전면허취소,2480,4720,7200,높음,1.0,91.0
명예훼손,스토킹,2390,4810,7200,높음,0.6,10.4
음주운전,음주수치,1520,5340,6860,높음,1.8,87.4
음주운전,교통사고전문변호사,2110,4710,6820,높음,9.8,46.4
명예훼손,배임,2490,4320,6810,높음,0.3,4.6
명예훼손,모욕죄,1250,5440,6690,높음,1.3,27.2
형사고소,기소,1580,4980,6560,높음,0.0,8.2
음주운전,민식이법,2100,4230,6330,높음,0.7,13.8
음주운전,음주운전전문변호사,3080,3130,6210,높음,1.5,9.8
형사고소,형사사건변호사,4750,1420,6170,높음,1.6,16.0
음주운전,대한민국헌법,2870,3230,6100,높음,0.3,0.3
명예훼손,모욕죄성립요건,960,5080,6040,높음,4.9,96.0
명예훼손,명예훼손죄,840,4930,5770,높음,3.5,57.2
형사고소,고소장양식,2900,2810,5710,높음,19.8,63.8
명예훼손,기망,1760,3910,5670,높음,0.4,3.3
형사고소,직무유기,1360,4280,5640,높음,0.1,6.4
음주운전,음주운전수치,1770,3600,5370,높음,0.9,54.0
음주운전,면허정지벌점,510,4860,5370,높음,1.0,37.6
음주운전,무면허운전처벌,1500,3790,5290,높음,1.1,77.8
명예훼손,횡령,1430,3680,5110,높음,0.5,4.8
음주운전,뺑소니처벌,1900,2910,4810,높음,1.0,47.4
명예훼손,방화,830,3730,4560,높음,0.1,3.8
음주운전,물피도주,960,3550,4510,높음,0.3,5.0
